,Algorithm,num_threshold,config,fitness,thresholds
0,GA,1,{},25,[1]
1,GE,1,{},25,[1]
2,SA,1,{},25,[1]
3,TS,1,{},25,[1]
4,GA,2,{},25,"[1, 2]"
5,GE,2,{},25,"[1, 2]"
6,SA,2,{},25,"[1, 2]"
7,TS,2,{},25,"[1, 2]"
8,GA,3,{},25,"[1, 2, 3]"
9,GE,3,{},25,"[1, 2, 3]"
10,SA,3,{},25,"[1, 2, 3]"
11,TS,3,{},25,"[1, 2, 3]"
12,GA,4,{},25,"[1, 2, 3, 4]"
13,GE,4,{},25,"[1, 2, 3, 4]"
14,SA,4,{},25,"[1, 2, 3, 4]"
15,TS,4,{},25,"[1, 2, 3, 4]"
16,GA,5,{},25,"[1, 2, 3, 4, 5]"
17,GE,5,{},25,"[1, 2, 3, 4, 5]"
18,SA,5,{},25,"[1, 2, 3, 4, 5]"
19,TS,5,{},25,"[1, 2, 3, 4, 5]"
20,GA,6,{},25,"[1, 2, 3, 4, 5, 6]"
21,GE,6,{},25,"[1, 2, 3, 4, 5, 6]"
22,SA,6,{},25,"[1, 2, 3, 4, 5, 6]"
23,TS,6,{},25,"[1, 2, 3, 4, 5, 6]"
24,GA,7,{},25,"[1, 2, 3, 4, 5, 6, 7]"
25,GE,7,{},25,"[1, 2, 3, 4, 5, 6, 7]"
26,SA,7,{},25,"[1, 2, 3, 4, 5, 6, 7]"
27,TS,7,{},25,"[1, 2, 3, 4, 5, 6, 7]"
